rowid	repo	accession	total citations	date made public	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	WoS Cited by how many?	COMMENTS	Dropbox filenames (for multiple files or multiple citations)	Google Scholar Search Term	Search results	Imported to Mendeley?														
83	ArrayExpress	E-UMCU-20		5/12/2005	Guglielmi B, van Berkum NL, Klapholz B, Bijma T, Boube M, Boschiero C, BourbonHM, Holstege FC, Werner M. A high resolution protein interaction map of the yeastMediator complex. Nucleic Acids Res. 2004 Oct 11;32(18):5379-91. Print 2004.PubMed PMID: 15477388; PubMed Central PMCID: PMC524289.	15477388					same reference		E-UMCU-20																
84	ArrayExpress	E-UMCU-20		5/12/2005	van de Peppel J, Kettelarij N, van Bakel H, Kockelkorn TT, van Leenen D,Holstege FC. Mediator expression profiling epistasis reveals a signaltransduction pathway with antagonistic submodules and highly specific downstream targets. Mol Cell. 2005 Aug 19;19(4):511-22. PubMed PMID: 16109375.	16109375					miscited on ISI Web of Science		E-UMCU-20																
85	ArrayExpress	E-UMCU-20		5/12/2005	Guglielmi B, van Berkum NL, Klapholz B, Bijma T, Boube M, Boschiero C, BourbonHM, Holstege FC, Werner M. A high resolution protein interaction map of the yeastMediator complex. Nucleic Acids Res. 2004 Oct 11;32(18):5379-91. Print 2004.PubMed PMID: 15477388; PubMed Central PMCID: PMC524289.	15477388					same reference		E-UMCU-20																
86	ArrayExpress	E-MEXP-399	34	8/15/2005	Species- and Strain-Specific Control of a Complex, Flexible Regulon by Bordetella BvgAS. Cummings, C. A.; Bootsma, H. J.; Relman, D. A.; Miller, J. F. The Journal of Bacteriology 188(5):1775 (The Journal of Bacteriology), PubMed 16484188	16484188		y	1	34			E-MEXP-399	1	y														
87	ArrayExpress	E-UMCU-18	4	3/18/2005	Transcriptome-based identification of pro- and antioxidative gene expression in kidney cortex of nitric oxide-depleted rats. Sebastiaan Wesseling, Jaap A. Joles, Harry van Goor, Hans A. Bluyssen, Patrick Kemmeren, Frank C. Holstege, Hein A. Koomans and Branko Braam. Physiol Genomics 28(2):158-167 (Physiol Genomics), PubMed 17047089	17047089		y	1	4			E-UMCU-18	0															
88	ArrayExpress	E-UMCU-11	31	1/5/2005	Multiple Robust Signatures for Detecting Lymph Node Metastasis in Head and Neck Cancer. Roepman, Paul; Kemmeren, Patrick; Wessels, Lodewijk F.A.; Slootweg, Piet J.; Holstege, Frank C.P. Cancer Res 66(4):2361 (Cancer Res)	16489042		y	1	31	same journal article references but different PubMed references numbers	E-UMCU-11_CancerRes	E-UMCU-11	1	y														
89	ArrayExpress	E-UMCU-11	140	1/5/2005	Roepman P, Wessels LF, Kettelarij N, Kemmeren P, Miles AJ, Lijnzaad P, TilanusMG, Koole R, Hordijk GJ, van der Vliet PC, Reinders MJ, Slootweg PJ, Holstege FC.An expression profile for diagnosis of lymph node metastases from primary headand neck squamous cell carcinomas. Nat Genet. 2005 Feb;37(2):182-6. Epub 2005 Jan9. PubMed PMID: 15640797.	15640797		y	2	140		E-UMCU-11_NatGenet	E-UMCU-11																
90	ArrayExpress	E-UMCU-11	31	1/5/2005	Roepman P, Kemmeren P, Wessels LF, Slootweg PJ, Holstege FC. Multiple robustsignatures for detecting lymph node metastasis in head and neck cancer. CancerRes. 2006 Feb 15;66(4):2361-6. PubMed PMID: 16489042.	16489042		y	1	31		E-UMCU-11_CancerRes	E-UMCU-11																
91	ArrayExpress	E-MNIA-66	50	11/17/2005	Transcript copy number estimation using a mouse whole-genome oligonucleotide microarray. Carter,Mark G.;Alexei A. Sharov;Vincent VanBuren;Dawood B. Dudekula;Condie E. Carmack;Charlie Nelson;Minoru S.H. Ko. Genome Biol 6(7) (Genome Biol)	15998450		y	2	50			E-MNIA-66	0															
92	ArrayExpress	E-MEXP-414	13	8/27/2005	Meta-analysis of Differentiating Mouse Embryonic Stem Cell Gene Expression Kinetics Reveals Early Change of a Small Gene Set. Glover, C.H., Marin, M., Eaves, C.J., Helgason, C.D., Piret, J.M., Bryan, J. PLoS Comput Biol 2(11):e158 (PLoS Comput Biol)	17121458		y	2	13		E-MEXP-414_JPloSComputBiol	E-MEXP-414	0															
93	ArrayExpress	E-MEXP-414	65	8/27/2005	Correlation of murine embryonic stem cell gene expression profiles with functional measures of pluripotency. Palmqvist, L., Glover, C.H., Bossen, B., Hsu, L., Lu, M., Piret, J.M., Humphries, R.K., Helgason, C.D. Stem Cells 23(5):663-680 (Stem Cells)	15849174		y	2	65		E-MEXP-414_StemCells	E-MEXP-414																
94	ArrayExpress	E-MEXP-388	32	9/26/2005	Identification of genes involved in imatinib resistance in CML: a gene-expression profiling approach. Villuendas R, Steegmann JL, Pollan M, Tracey L, Granda A, Fernandez-Ruiz E, Casado LF, Martinez J, Martinez P, Lombardia L, Villalon L, Odriozola J, Piris MA. Leukemia  (Leukemia), PubMed 16598311	16598311		y	1	32			E-MEXP-388	0															
95	ArrayExpress	E-MEXP-449	102	11/11/2005	Genome-Wide Analysis of Hydrogen Peroxide-Regulated Gene Expression in Arabidopsis Reveals a High Light-Induced Transcriptional Cluster Involved in Anthocyanin Biosynthesis. Sandy Vanderauwera; Philip Zimmermann; Stephane Rombauts; Steven Vandenabeele; Christian Langebartels; Wilhelm Gruishem; Dirk Inze; Frank Van Breusegem. Plant Physiol 2:806-21 (Plant Physiol), PubMed 16183842	16183842		y	1	102			E-MEXP-449	2	y														
96	ArrayExpress	E-CBIL-3	73	10/31/2005	Fidelity and enhanced sensitivity of differential transcription profiles following linear amplification of nanogram amounts of endothelial mRNA. Polacek DC, Passerini AG, Shi C, Francesco NM, Manduchi E, Grant GR, Powell S, Bischof H, Winkler H, Stoeckert CJ Jr, Davies PF. Physiol Genomics 13:147-156 (Physiol Genomics), PubMed 12700361	12700361		y	2	73			E-CBIL-3	0															
97	ArrayExpress	E-MEXP-300	31	4/18/2005	The elongata mutants identify a functional Elongator complex in plants with a role in cell proliferation during organ growth. Nelissen, Hilde; Fleury, Delphine; Bruno, Leonardo; Robles, Pedro; De Veylder, Lieven; Traas, Jan; Micol, Jose Luis; Van Montagu, Marc; Inze, Dirk; Van Lijsebettens, Mieke. Proc Natl Acad Sci U S A 102(21):7754 (Proc Natl Acad Sci U S A), PubMed 17329565	17329565		y	1	31			E-MEXP-300	3	y														
98	ArrayExpress	E-TIGR-121	221	4/25/2005	Independence and reproducibility across microarray platforms. Jennie E Larkin, Bryan C Frank, Haralambos Gavras, Razvan Sultana and John Quackenbush. Nat Methods 2:337 - 344 (Nat Methods)		10.1038/NMETH757	y	2	221			E-TIGR-121	0															
99	ArrayExpress	E-MEXP-474		12/1/2005	citation missing																								
100	ArrayExpress	E-UMCU-15	23	1/10/2005	Gene expression profiling and phenotype analyses of S. cerevisiae in response to changing copper reveals six genes with new roles in copper and iron metabolism. van Bakel, Harm; Strengman, Eric; Wijmenga, Cisca; Holstege, Frank C. P. Physiol Genomics 22(3):356 (Physiol Genomics), PubMed 15886332	15886332		y	1	23			E-UMCU-15	0															
101	ArrayExpress	E-CAGE-56		10/20/2005	citation missing																								
102	ArrayExpress	E-MEXP-246		1/17/2005	citation missing																								
103	ArrayExpress	E-MEXP-470		11/25/2005	Control of jasmonate biosynthesis and senescence by miR319 targets. Schommer C, Palatnik JF, Aggarwal P, ChÃ©telat A, Cubas P, Farmer EE, Nath U, Weigel D. PLoS Biol. 6(9):e230 (PLoS Biol.)	18816164							E-MEXP-470	0															
104	ArrayExpress	E-NASC-49		1/19/2005	citation missing																								
105	ArrayExpress	E-MEXP-384		7/19/2005	citation missing																								
106	ArrayExpress	E-TABM-37	247	9/22/2005	Extensive modulation of a set of microRNAs in primary glioblastoma. CiafrÃ¨ S.A.; Galardi S.; Mangiola A.; Ferracin M.; Liu C.-G.; Sabatino G.; Negrini M.; Maira G.; Croce C.M.; Farace M.G. Biochem Biophys Res Commun 334(4):1351-1358 (Biochem Biophys Res Commun)	16039986		y	2	247			E-TABM-37	0															
107	ArrayExpress	E-MEXP-459	4	11/4/2005	Gene expression profiling of microglia infected by a highly neurovirulent murine leukemia virus: implications for neuropathogenesis. Derek Dimcheff; L. Gwenn Volkert; Ying Li; Angelo DeLucia; William Lynch. Retrovirology 3:26 (Retrovirology), PubMed 16696860	16696860		y	1	4			E-MEXP-459	0															
108	ArrayExpress	E-TABM-65	142	11/23/2005	Integrating data on DNA copy number with gene expression levels and drug sensitivities in the NCI-60 cell line panel. Bussey, Kimberly J.; Chin, Koei; Lababidi, Samir; Reimers, Mark; Reinhold, William C.; Kuo, Wen-Lin; Gwadry, Fuad; Ajay, ; Kouros-Mehr, Hosein; Fridlyand, Jane; Jain, Ajay; Collins, Colin; Nishizuka, Satoshi; Tonon, Giovanni; Roschke, Anna; Gehlhaus, Kristen; Kirsch, Ilan; Scudiero, Dominic A.; Gray, Joe W.; Weinstein, John N. Mol Cancer Ther 5(4):853 (Mol Cancer Ther), PubMed 16648555	16648555		y	1	142			E-TABM-65	1	y														
109	ArrayExpress	E-MEXP-269	54	6/24/2005	The landscape of histone modifications across 1% of the human genome in five human cell lines. Koch, Christoph M.; Andrews, Robert M.; Flicek, Paul; Dillon, Shane C.; Karaoz, Ulas; Clelland, Gayle K.; Wilcox, Sarah; Beare, David M.; Fowler, Joanna C.; Couttet, Phillippe; James, Keith D.; Lefebvre, Gregory C.; Bruce, Alexander W.; Dovey, Oliver M.; Ellis, Peter D.; Dhami, Pawandeep; Langford, Cordelia F.; Weng, Zhiping; Birney, Ewan; Carter, Nigel P.; Vetrie, David; Dunham, Ian. Genome Res 17(6):691 (Genome Res), PubMed 17567990	17567990		y	1	54			E-MEXP-269	0															
110	ArrayExpress	E-MEXP-410		12/21/2005	citation missing																								
111	ArrayExpress	E-MEXP-515	12	12/21/2005	Price SA, Zeef LA, Wardleworth L, Hayes A, Tomlinson DR. Identification ofchanges in gene expression in dorsal root ganglia in diabetic neuropathy:correlation with functional deficits. J Neuropathol Exp Neurol. 2006Jul;65(7):722-32. PubMed PMID: 16825959.	16825959		y	1	12			E-MEXP-515	0															
112	ArrayExpress	E-MEXP-382	20	7/8/2005	Lunardi C, Dolcino M, Peterlana D, Bason C, Navone R, Tamassia N, Beri R,Corrocher R, Puccetti A. Antibodies against human cytomegalovirus in thepathogenesis of systemic sclerosis: a gene array approach. PLoS Med. 2006Jan;3(1):e2. Epub 2005 Dec 6. PubMed PMID: 16318412; PubMed Central PMCID:PMC1298939.	16318412		y	1	20			E-MEXP-382	0															
113	ArrayExpress	E-MEXP-491	20	11/24/2005	Ruonala R, Rinne PL, Baghour M, Moritz T, Tuominen H, KangasjÃ_rvi J.Transitions in the functioning of the shoot apical meristem in birch (Betulapendula) involve ethylene. Plant J. 2006 May;46(4):628-40. PubMed PMID: 16640599.	16640599		y	1	20			E-MEXP-491	0															
114	ArrayExpress	E-MEXP-17		2/15/2005	citation missing																								
115	ArrayExpress	E-MEXP-305		4/20/2005	citation missing																								
116	ArrayExpress	E-TABM-44	4	11/4/2005	ppGalNAc-T13: A New Molecular Marker of Bone Marrow Involvement in Neuroblastoma. Berois, Nora; Blanc, Etienne; Ripoche, Hugues; Mergui, Xenia; Trajtenberg, Felipe; Cantais, Sabrina; Barrois, Michel; Dessen, Philippe; Kagedal, Bertil; Benard, Jean; Osinaga, Eduardo; Raguenez, Gilda. Clin Chem 52(9):1701 (Clin Chem), PubMed 16873292	16873292		y	1	4			E-TABM-44	0															
117	ArrayExpress	E-MEXP-88	64	9/7/2005	Genome-wide analysis of mRNAs regulated by the THO complex in Drosophila melanogaster. Jan Rehwinkel; Andrea Herold; Michaela Rode; Thomas Koecher; Kerstin Gari; Peer Bork; Matthias Wilm; Elisa Izaurralde; Francesca L. Ciccarelli. Nat Struct Mol Biol 11:558 - 566 (Nat Struct Mol Biol), PubMed 15361863	15361863		y	1	64			E-MEXP-88	1															
118	ArrayExpress	E-MEXP-465	31	11/10/2005	Blot N, Mavathur R, Geertz M, Travers A, Muskhelishvili G. Homeostaticregulation of supercoiling sensitivity coordinates transcription of the bacterialgenome. EMBO Rep. 2006 Jul;7(7):710-5. Epub 2006 Jun 16. PubMed PMID: 16799466;PubMed Central PMCID: PMC1500834.	16799466		y 	1	31			E-MEXP-465	0															
119	ArrayExpress	E-MEXP-504		12/5/2005	citation missing																								
120	ArrayExpress	E-MEXP-517		12/21/2005	citation missing																								
121	ArrayExpress	E-NASC-55		1/19/2005	citation missing																								
122	ArrayExpress	E-MEXP-288	18	3/31/2005	Immune Selection and Emergence of Aggressive Tumor Variants as Negative Consequences of Fas-Mediated Cytotoxicity and Altered IFN-{gamma}-Regulated Gene Expression. Liu, Kebin; Caldwell, Sheila A.; Abrams, Scott I. Cancer Res 65(10):4376 (Cancer Res), PubMed 15899830	15899830		y	1	18			E-MEXP-288	0															
123	ArrayExpress	E-MAXD-5	61	6/2/2005	Transcriptome Shock after Interspecific Hybridization in Senecio Is Ameliorated by Genome Duplication. Matthew J. Hegarty, Gary L. Barker, Ian D. Wilson, Richard J. Abbott, Keith J. Edwards and Simon J. Hiscock. Curr Biol 16:1652-1659 (Curr Biol)	16920628		y	1	61			E-MAXD-5	0															
124	ArrayExpress	E-MEXP-199		4/8/2005	citation missing																								
125	ArrayExpress	E-RZPD-11		4/29/2005	citation missing																								
126	ArrayExpress	E-MEXP-362		8/3/2005	citation missing																								
127	ArrayExpress	E-MEXP-417	19	8/30/2005	The anti-angiogenic tissue kallikrein pattern of endothelial cell in Systemic Sclerosis. Betti Giusti; Simona Serrati; Francesca Margheri; Laura Papucci; Luciana Rossi; Filippo Poggi; Alberto Magi; Angela Del Rosso; Marina Cinelli; Serena Guiducci; Bashar Kahaleh; Marco Matucci-Cerinic; Rosanna Abbate; Gabriella Fibbi; Mario Del Rosso. Arthritis Rheum 52(11):3618-28 (Arthritis Rheum), PubMed 16255054	16255054		y	2	19			E-MEXP-417	0															
128	ArrayExpress	E-MEXP-338		5/17/2005	citation missing																								
129	ArrayExpress	E-MEXP-418		9/5/2005	citation missing																								
130	ArrayExpress	E-MEXP-427	12	11/8/2005	Kresse SH, Berner JM, Meza-Zepeda LA, Gregory SG, Kuo WL, Gray JW, Forus A,Myklebost O. Mapping and characterization of the amplicon near APOA2 in 1q23 inhuman sarcomas by FISH and array CGH. Mol Cancer. 2005 Nov 7;4:39. PubMed PMID:16274472; PubMed Central PMCID: PMC1308856.	16274472		y	1	12			E-MEXP-427	0															
131	ArrayExpress	E-MEXP-394		8/3/2005	citation missing																								
132	ArrayExpress	E-MEXP-381	28	7/13/2005	Sanders HR, Foy BD, Evans AM, Ross LS, Beaty BJ, Olson KE, Gill SS. Sindbisvirus induces transport processes and alters expression of innate immunitypathway genes in the midgut of the disease vector, Aedes aegypti. Insect Biochem Mol Biol. 2005 Nov;35(11):1293-307. PubMed PMID: 16203210.	16203210		y	1	28			E-MEXP-381	0															
133	ArrayExpress	E-UMCU-21		7/13/2005	citation missing																								
134	ArrayExpress	E-CAGE-54		10/20/2005	citation missing																								
135	ArrayExpress	E-TOXM-20	8	11/15/2005	Evaluation of the gene expression changes induced by 17-alpha-ethynyl estradiol in the immature uterus/ovaries of the rat using high density oligonucleotide arrays. Naciff JM, Torontali SM, Overmann GI, Carr GJ, Tiesman JP, Daston GP. Birth Defects Res B Dev Reprod Toxicol 74(2):164-184 (Birth Defects Res B Dev Reprod Toxicol)	15834898		y	1	8			E-TOXM-20	0															
136	ArrayExpress	E-MEXP-422		9/5/2005	citation missing																								
137	ArrayExpress	E-TOXM-16	68	6/13/2005	Comparison of the expression profiles induced by genotoxic and nongenotoxic carcinogens in rat liver. Ellinger-Ziegelbauer H, Stuart B, Wahle B, Bomann W, Ahr HJ. Mutat Res 575(1-2):61-84 (Mutat Res)	15890375		y	1	68																			
138	ArrayExpress	E-TABM-67	10	12/5/2005	Genome-wide screening for cis-regulatory variation using a classical diallel crossing scheme. Kiekens R, Vercauteren A, Moerkerke B, Goetghebeur E, Van Den Daele H, Sterken R, Kuiper M, van Eeuwijk F, Vuylsteke M. Nucleic Acids Res 24(13):3677-3686 (Nucleic Acids Res), PubMed 16885241	16885241		y	1	10			E-TABM-67	0															
139	ArrayExpress	E-MEXP-498		11/30/2005	citation missing																								
140	ArrayExpress	E-MEXP-318	85	4/22/2005	Schmitz-Linneweber C, Williams-Carrier R, Barkan A. RNA immunoprecipitationand microarray analysis show a chloroplast Pentatricopeptide repeat protein to beassociated with the 5' region of mRNAs whose translation it activates. PlantCell. 2005 Oct;17(10):2791-804. Epub 2005 Sep 2. PubMed PMID: 16141451; PubMedCentral PMCID: PMC1242273.	16141451		y	1	85			E-MEXP-318	0															
141	ArrayExpress	E-MEXP-218	92	1/12/2005	Overlaps in the Transcriptional Profiles of Medicago truncatula Roots Inoculated with Two Different Glomus Fungi Provide Insights into the Genetic Program Activated during Arbuscular Mycorrhiza. Hohnjec, Natalija; Vieweg, Martin F.; Puhler, Alfred; Becker, Anke; Kuster, Helge. Plant Physiol 137(4):1283-1301 (Plant Physiol), PubMed 15778460	15778460		y	1	92			E-MEXP-218	0															
142	ArrayExpress	E-MEXP-322	10	5/9/2005	Sievertzon M, Wirta V, Mercer A, FrisÃ©n J, Lundeberg J. Epidermal growthfactor (EGF) withdrawal masks gene expression differences in the study ofpituitary adenylate cyclase-activating polypeptide (PACAP) activation of primary neural stem cell proliferation. BMC Neurosci. 2005 Aug 28;6:55. PubMed PMID:16124881; PubMed Central PMCID: PMC1208901.	16124881		y	2	10			E-MEXP-322	0															
143	ArrayExpress	E-MEXP-273		6/14/2005	Ishikawa K, Koyama-Saegusa K, Otsuka Y, Ishikawa A, Kawai S, Yasuda K, Suga T,Michikawa Y, Suzuki M, Iwakawa M, Imai T. Gene expression profile changescorrelating with radioresistance in human cell lines. Int J Radiat Oncol BiolPhys. 2006 May 1;65(1):234-45. PubMed PMID: 16618578.	16618578		n																					
144	ArrayExpress	E-MEXP-423	6	9/22/2005	Regulator of G-protein signalling 2 mRNA is differentially expressed in mammary epithelial subpopulations and over-expressed in the majority of breast cancers. Smalley MJ, Iravani M, Leao M, Grigoriadis A, Kendrick H, Dexter T, Fenwick K, Regan JL, Britt K, McDonald S, Lord CJ, Mackay A, Ashworth A. Breast Cancer Res 9(6):R85 (Breast Cancer Res), PubMed 18067675	18067675		y	1	6			E-MEXP-423	0															
145	ArrayExpress	E-MNIA-67	49	11/18/2005	Transcript copy number estimation using a mouse whole-genome oligonucleotide microarray. Carter,Mark G.;Alexei A. Sharov;Vincent VanBuren;Dawood B. Dudekula;Condie E. Carmack;Charlie Nelson;Minoru S.H. Ko. Genome Biol 6(7) (Genome Biol)	15998450		y	1	49			E-MNIA-67	0															
146	ArrayExpress	E-MIMR-42	66	3/16/2005	Christian M, Kiskinis E, Debevec D, Leonardsson G, White R, Parker MG.RIP140-targeted repression of gene expression in adipocytes. Mol Cell Biol. 2005 Nov;25(21):9383-91. PubMed PMID: 16227589; PubMed Central PMCID: PMC1265803.	16227589		y 	1	66	2 citations found c/o PMID	E-MIMR-42_MolCellBiol	E-MIMR-42	0															
147	ArrayExpress	E-MIMR-42	76	3/16/2005	Powelka AM, Seth A, Virbasius JV, Kiskinis E, Nicoloro SM, Guilherme A, TangX, Straubhaar J, Cherniack AD, Parker MG, Czech MP. Suppression of oxidativemetabolism and mitochondrial biogenesis by the transcriptional corepressor RIP140in mouse adipocytes. J Clin Invest. 2006 Jan;116(1):125-36. Epub 2005 Dec 22.PubMed PMID: 16374519; PubMed Central PMCID: PMC1319222.	16374519		y	1	76		E-MIMR-42_JClinInvest	E-MIMR-42																
